sentence,article,start,end,group,pred_v1,pred_v2,pred_v3,text_sha256
63,12,853,914,hindi_marked,hin,hin_Deva,anp_Deva,7fa470d6bbf5aaec06af3ace88b6fd9df01170de301ab051121fa30a279b1c9b
64,12,915,1034,hindi_marked,hin,hin_Deva,anp_Deva,029a82b82bcbb1e6231c2a1b8dced29654d830881086f8bac86e88462090778e
65,12,1035,1151,hindi_marked,hin,awa_Deva,anp_Deva,fa268a0f4937d3a3d566f0217cf4cddd84d995588072e88b44839c03b33b14c2
66,12,1152,1271,hindi_marked,hin,hin_Deva,hin_Deva,0bfe322b89bb7e89073b8f6a76cc7cc7a055a6f026c8bb19d51f1b8a8af69661
67,12,1272,1315,hindi_marked,hin,hin_Deva,hin_Deva,d8e9613c2128f27014ed3f633a3f445e6fa1b9f0d7dd4370d6e3947cdb5ff06c
68,13,0,107,angika_marked,hin,mai_Deva,anp_Deva,546ddae8d1497c800e3c4ecc55315437437faf1e888220bd702d2ec5dd685b12
69,13,108,182,angika_marked,mag,mag_Deva,anp_Deva,f81d15b4f188a483953c52cedff4849fce31578557d1a5088448142f77c94e34
70,13,183,289,angika_marked,mag,mag_Deva,anp_Deva,6f38815c0fcb6dafe45b894b5b52210d2554b9396d423cbdb2c02391e3a0e269
71,13,290,351,angika_marked,mag,mai_Deva,anp_Deva,d62e39f67240acacf0f77fff07b78a52c715f60e9f842c8015886755d5b91e24
72,14,18,57,angika_marked,bho,mag_Deva,bho_Deva,cbb609763ee2820707d7345177e2b1ff27a62fefd4833af446c11cbd009f9206
73,14,58,90,angika_marked,bho,bho_Deva,anp_Deva,8d5ca6758c76b0917cc5fa0cde56ffba803baf3d94bc98bf7f278965c88c169c
74,14,91,177,angika_marked,mai,mai_Deva,anp_Deva,fc605fae2829b5cae9dd14c83a49e2c376404fe6e86556f2d2c198edc07f5955
75,14,178,234,angika_marked,mai,mai_Deva,anp_Deva,f9f666c354faded7c4ff96821267515330790c55fcc08d51423559927588b4b4
76,15,0,138,angika_marked,bho,mai_Deva,anp_Deva,faf3422f66ce5465e8cda2ad907457f38861529b5bf3190550195a2cbe0c73db
77,15,139,277,angika_marked,mai,mai_Deva,anp_Deva,d9ac60cdc5e002369dac24dc455cb8842aa0b096c3164cd73f7a354c36727bd2
78,15,278,367,angika_marked,mag,mai_Deva,anp_Deva,e323290fdf56685b5a0d45f2af4c9547a3bb60987427d25cd27b1a99955e3649
79,15,368,407,angika_marked,mag,mai_Deva,anp_Deva,2de44eb06837469db1ddfacd8536d8e8ef72cd94a83227f0fd46e6eb941614a7
80,15,408,477,angika_marked,mag,mag_Deva,anp_Deva,7b2e84d4af802a460d5d5785484db819dbe870787c53607b0c2903ba2ffc4c7f
81,16,0,31,angika_marked,mag,mag_Deva,anp_Deva,a7d35e870b28e114b4f2b2db0a0206ecde507748e8345d6e47e8c6b80f2817f5
82,16,32,98,angika_marked,awa,awa_Deva,anp_Deva,7a62ad595786967821be29a73253183ddbf2fdbb4fba29d57970b4067682e55b
83,16,99,150,angika_marked,mag,awa_Deva,anp_Deva,a45693750d825597218f75636d0a95048c8a5f86099c18db63386fd3f58caf5f
84,17,0,152,angika_marked,mag,mai_Deva,anp_Deva,064fa004067805add39614fe903d905bcc135e5af98fb3e83bc768a0b6d390e1
85,17,153,203,angika_marked,mag,mag_Deva,anp_Deva,70dfd2266c2ac552bdcc0c4993a62c66d3b2e5bf73534d07262f6fc0f02e521d
86,17,204,323,angika_marked,mai,mai_Deva,anp_Deva,25dc26cce8e384bc56de9445bd3df93e45f7d8cffcd1f08672c0858f67b7bc89
87,17,324,354,angika_marked,mag,mai_Deva,anp_Deva,43e69d851357db6ef7643b18fb57568800776ba82b7d87d94c577c2f0cbc6fc3
88,18,0,223,angika_marked,mai,mai_Deva,anp_Deva,66d1a24924b3b911a1a234016422ad70fe8a63513845ab649b7a812a51c874a8
89,18,224,288,angika_marked,awa,mai_Deva,anp_Deva,3ab2b21f3a3d9ce91c89b3b686b31bc577ce88f93117ce6a67c0e637aa8a4ffc
90,18,289,365,angika_marked,hin,hin_Deva,anp_Deva,58d982ef09d50a9108c45c63301a8eaf3c328ebbd028210ff6920c290feb5293
91,18,387,512,angika_marked,awa,awa_Deva,anp_Deva,122df36464f2b70a255ae2ad54cc1550e77d620d6e8983f846e4de884187b261
92,18,513,607,angika_marked,awa,mai_Deva,anp_Deva,296698d902ed352466a7e7220c5dfc0349c01881f59d65a40af0eab320ea2223
93,18,608,647,angika_marked,new,new_Deva,anp_Deva,98731920680943c38e53513eb0eee1682066bde5a789e4bfc872f088a012b10a
94,18,648,712,angika_marked,mag,bho_Deva,anp_Deva,a350d3aaedb541b70e34266f3e1ff7e795edad40feb7014ff0783139703000e1
95,18,713,782,angika_marked,mai,mai_Deva,anp_Deva,45c36b2af62895ce93078eef6c4998c82cbfbb0da1f867693a5b4ec8b1ceae6c
96,18,783,848,angika_marked,mag,mag_Deva,anp_Deva,7a5182cc7c7db6f3e643f0e0095b54626aacf7260e45e1ccecd187c92cc2cc3c
97,18,849,968,angika_marked,mai,mai_Deva,anp_Deva,b04adad9e769213481366880e13b839ec49da84b875413d4363cbbd6bc524b7f
98,18,969,1093,angika_marked,mai,mai_Deva,anp_Deva,eba704cde789173c8d3181c167795852ba6d23122556e461e05cdb4efe681ac5
99,18,1094,1136,angika_marked,awa,mai_Deva,mai_Deva,0ad7cfc8f3a56cecfd911036cab71d3c297a2b91cd3d94aa1487cc236145b966
100,19,99,191,angika_marked,mag,mai_Deva,anp_Deva,925d7e6e02c7a4e7122fbce3b9501ab7db681bf1c9f5b332cb18af2a33801fe5
101,19,192,278,hindi_marked,hin,hin_Deva,anp_Deva,830beb74a86439b5bec62c5889653a3ad8c5a9afb0d2f23f183ea84083661c38
102,20,185,234,hindi_marked,hin,hin_Deva,hin_Deva,eaef267a9f84619489e4880761845d26ba758a7d191ccd2c44b50d5f09fec3bd
103,20,235,285,neither,hin,hin_Deva,hin_Deva,d9970d90414e1bd2e7d354a103b6590760dec6f2f48195b80a48bef82c072778
104,20,286,319,neither,hin,awa_Deva,awa_Deva,6a48c91ae6f5643d6bbfbc2fbbc9a029c5f1dafb4a064611e15a50bd0e384fb8
105,20,320,466,hindi_marked,hin,hin_Deva,hin_Deva,332d6b633799f2fad9df542f0491acb2e45bf95337b98186b154929dea0ed189
106,20,467,552,neither,hin,hin_Deva,hin_Deva,1092db4f098c217d0b94f188f75cdb90bff2f991ba064ebfa5835450baab83d7
107,20,553,702,hindi_marked,hin,hin_Deva,hin_Deva,69e184531dbaed9fa5a1dae411924f085e054663b0ae59dbf335736edf03bf60
108,20,703,977,hindi_marked,hin,hin_Deva,hin_Deva,58671b7a96184d58451c4fc5bf5516c822374c1c5a9fcfb8ef302247bc27aedc
109,21,0,53,angika_marked,awa,awa_Deva,anp_Deva,367f2fe9a6f0691e13fc87a750921a8566b1803abae66d51f69804174240f011
110,21,54,137,angika_marked,awa,awa_Deva,anp_Deva,522049fbc1e1649dafada2fcbfc08ebafc8d8ba164381f43a76d9809f48c9a32
111,21,138,171,angika_marked,mai,mai_Deva,anp_Deva,26e41dc54c2ce595ac0c33f442b7bd750748d9ed502f4523fbee8ffac35be253
112,22,0,81,angika_marked,bho,bho_Deva,anp_Deva,424fc5d3b42b12b0bff2c1648c76a82558fe55a941d08b8b93f4d6e7b17b037b
113,22,82,111,angika_marked,mag,awa_Deva,anp_Deva,1a944bfdbf9064cfb7f4ab7aed018f497c1a7393d42f9d91b117d28c6725393c
114,22,112,212,angika_marked,bho,bho_Deva,anp_Deva,af227a527cf316f4e6877e53582f2b36883083f3bcdfc0171b8bdea04c6edc2b
115,23,0,123,angika_marked,bho,bho_Deva,anp_Deva,bdefedb61e12e318064936a4052803c93fc87414dee6fb70e7e5fef00f2b22c5
116,23,124,220,angika_marked,bho,bho_Deva,anp_Deva,9058b9640f68cb779753919c1b3605c8d08531c1ee4574500614fbb825420753
117,23,221,400,angika_marked,bho,hin_Deva,anp_Deva,bf8c18b647ffc469d9f42fcfe0207f936eeb076fb832c45b9ee25fdc440342c9
118,23,401,490,angika_marked,mag,awa_Deva,anp_Deva,15bc7487f82cf7821ff9324ba357d251a472ef553a14b30b071d73e35960ecb9
119,24,0,159,angika_marked,hin,hin_Deva,anp_Deva,dd55627e65eff610542f6d071979688e43b10a0c03d3d19fd27ae46f6ca7aa73
120,24,160,222,angika_marked,hin,mai_Deva,anp_Deva,1f6a7ccbad870da3f86cfd44e718405fb4f89c33caad103f6c0fbc1ba17946a9
121,25,0,57,angika_marked,new,mai_Deva,anp_Deva,a52faf8a6852a4d6bb3a2c72a2b509c33c0600f2bef7bcb29b5730df80550546
122,25,58,103,angika_marked,mag,mag_Deva,anp_Deva,d5d835117d1b8a440018ac273bda1ac85e3fd58a8c6ce3e0423922845f999853
123,25,104,225,angika_marked,hin,mai_Deva,anp_Deva,fabf93898ee1812a325786892ce148d9eec56dbcdeeb108b2994646f46cc795c
124,25,226,415,neither,hin,mai_Deva,mai_Deva,b1fa0f51f769daf5f518288d252b3090de7862b50398be95dfcc27bce458d913
125,25,416,458,neither,mag,mag_Deva,anp_Deva,9bb9782c48aaabf5521e660bbf871ee69acf78d446f62aaf9f159c431a7d7eb3
126,25,459,549,angika_marked,mag,mai_Deva,anp_Deva,99a1fb323a9c191b64473072e2a2bd96d7953e50696d5a5d050352c3a4490ac1
127,25,550,652,neither,mag,mag_Deva,anp_Deva,4bc961a12ca303a6903dcc538876de7e487568534ed8b03d64035c6ad0b41e9d
128,25,653,702,angika_marked,mag,awa_Deva,anp_Deva,ce8720a52d8e2639ec3659a7be8a0fad9b0c967bd0f7d0bf454dfe5d84e5c1d7
129,25,703,750,angika_marked,new,mai_Deva,anp_Deva,43fc8a4a5e268e8ffd48d70275dad4b4de1a5a10f545c862fb1be71e50545c68
130,25,751,882,angika_marked,mai,mag_Deva,anp_Deva,b4ddf8569a9d3332111f86f1234d5e6f223e9c19e6452740c4aba51c2b5a1884
131,25,883,1080,angika_marked,awa,mai_Deva,anp_Deva,4205f82c93e3f848a5fcd749a4fec11d640f280373fd12bbadaff8dfc713e3f7
132,25,1081,1285,angika_marked,hin,mai_Deva,anp_Deva,a2ad5ff7091e4e3dd5c029d05230a2486f65cd9fbab9a7596213b02e6911e3b3
133,25,1286,1564,angika_marked,hin,mai_Deva,anp_Deva,72ed1f3e887209330aba692a0c63fb5cf1dced058e7d5d33fdd70063a8503d92
134,25,1565,1930,angika_marked,awa,mai_Deva,anp_Deva,91f59b85e96486b2091d4595dd334c1480e882aa55d9f6e1df6d1b63062b67eb
135,25,1931,2349,angika_marked,awa,mai_Deva,anp_Deva,f5e3fa90cf3aab1e70c2d4c398b2a2bfe225526bc1579968dc4a5fb24b6261e0
136,25,2350,2580,angika_marked,mag,mai_Deva,anp_Deva,c33902585404fc91c9e77ce580c9b3dd1f0378632afd1dc917e413aef9f9c8fb
137,25,2581,2708,angika_marked,mai,mai_Deva,anp_Deva,72b3c34bfec6bbfd29ff1694ba1df2770cec5bd3dcfcf22bcbe306c14854de84
138,25,2709,2795,angika_marked,awa,mai_Deva,anp_Deva,08cba1a0cc598c924ddeab5abc984bcfb49b1f1a18eb9dcf793c0f258c40c800
139,25,2796,3096,angika_marked,mai,mai_Deva,anp_Deva,d49d393ddcce129e446b4203554622fd7718f4a27f0eadeaffebb0a9cb580fa1
140,25,3097,3243,angika_marked,hin,mai_Deva,anp_Deva,7aaeb84049105e3b457abe278c530469df1d4219dd7c4a55f0fef4293cdb9fa9
141,25,3244,3474,angika_marked,npi,mai_Deva,anp_Deva,85d97a97ae2d57d786b7b61e557c011aa190dce623db5e6616c4c5ab66698583
142,25,3475,3678,angika_marked,mag,mai_Deva,anp_Deva,31483e3f42ea124d368d51a6c4d17630c3c065573d3d6ab0ee192661b33fe9df
143,25,3679,3747,neither,hin,awa_Deva,awa_Deva,6587ba11e21ff26c78daec9b69ea606badadf97c6c35a5b8e7edc35df86ad32b
144,25,3748,3847,angika_marked,mag,mai_Deva,anp_Deva,d19cc0ab9ef8f68c49d3fc0e0c81c2cc7e039e075dd36dc7dc6f6a9abee4cbba
145,25,3848,3893,angika_marked,mag,mag_Deva,anp_Deva,36fd796e0313520aae01f554ddf5a956b4fce7d66083fe0d0966a04cbe82b816
146,25,3894,3923,neither,hin,mai_Deva,anp_Deva,269235049d8b3039409cafa53c38faae12c66ff1cdde9e943255fbf221b5ce73
147,26,0,82,angika_marked,awa,awa_Deva,anp_Deva,89efbaa6fe26299155b1adbc4a370748ad7bf616aab4184bf64678b4c5e59d88
148,26,83,274,angika_marked,bho,bho_Deva,anp_Deva,3c29471ba2ff7f9b60ed91effa9dc699353f7410da6898ac491b8c8db6c2de7a
149,26,275,331,angika_marked,mag,mai_Deva,anp_Deva,c8099b813d14902d23b28f6d26e74ddc4dd2f24f676808c062ad1616e9e12798
150,26,332,395,neither,mag,mag_Deva,mag_Deva,46ef899b30a8ece603fe3230f50828bc74d1f34bb03090926089275a95c9cbcf
151,26,396,445,neither,mag,mag_Deva,anp_Deva,1b10eb3df876cbb1372e57ee049511e9b2889c10ee04ed588b4866e57ad18db3
152,26,446,487,neither,mag,mag_Deva,mag_Deva,28e53a7bb0a69d109e5bb3b300c581cbb34b570930b5fda3fe5a592fad7cbb45
153,26,488,535,angika_marked,mag,mai_Deva,anp_Deva,9eb0df3952294b27afc5b3fe2b876fd2fd1533308fbb5b35f10adc5844c1d170
154,26,536,587,angika_marked,mag,mag_Deva,anp_Deva,ecade5b2023e3cf9dd46dd664cf6084d2278c39124e240f4677f11637641595f
155,26,588,693,neither,mag,mai_Deva,anp_Deva,e944970bf7639c5996afa4d6513ec5df39256429d57929d696564bb8706f7c42
156,26,694,736,angika_marked,mag,mag_Deva,anp_Deva,3965e268562963e9e6472309d68dacfc97b1c4fc125ac0a5c5059dbc1cb79efe
157,26,737,789,angika_marked,awa,mai_Deva,anp_Deva,9280578a19616cc0bd647d56b486c66e6f7974add7f79701527c5ec253710956
158,26,790,846,angika_marked,mag,mai_Deva,anp_Deva,c6e47bd0690417c4f750c8f2345f2ce066379946fb221a6c464344ddfdded427
159,26,847,918,angika_marked,mag,mag_Deva,anp_Deva,0d705751b8c769565a46cf28d2574e3732482b2ed170d6d2e4c848563f6076ab
160,26,919,966,angika_marked,mag,mag_Deva,anp_Deva,85ab1f1f979af83079f368d7067dc4e8168e73e7afc03ccadec54ef5c670dfd9
161,26,967,1030,angika_marked,mag,mag_Deva,mag_Deva,3c313c15a5ad0542e2bffd9f1f81744afa5d4f8459568a246f77bfea8c377958
162,26,1031,1134,angika_marked,bho,mai_Deva,anp_Deva,ee2ddd3051b6f6ce82e6f570b47d8bbb62b0e776736ebe0cd3c4a158a94f2bb3
163,26,1135,1193,neither,awa,awa_Deva,anp_Deva,2d66cb8a8c213b480fd9dc2ee998fa8f24cd4136f7db1e3d14bcda94c9801c7c
164,26,1194,1297,angika_marked,bho,bho_Deva,anp_Deva,245e55ec581adcb5d4db4a65cb27cbf6cf5a00fbbc923d1547408d157092b358
165,26,1298,1331,angika_marked,mag,mag_Deva,anp_Deva,ecb970ea9cce2b5b6f4071c86e47598833b86dfbd3632565fcd078f7c6987e38
166,26,1332,1375,angika_marked,mag,mag_Deva,anp_Deva,d1daf2f1f8976810e2cc9652b453db6d1c89629bde9146bb0d470638e0e7c8b6
167,26,1376,1421,angika_marked,mag,mag_Deva,anp_Deva,622a172c4ff03da20eb2f14d1f6916ebb36c925aeb7e37c513944d6194d50f36
168,27,0,89,angika_marked,awa,awa_Deva,anp_Deva,40b7cbe69f39dc2a07cf62dfd431d27ba7b8f2fbcb702cf3f3be15304252c323
169,27,90,156,angika_marked,mai,awa_Deva,anp_Deva,e9e25b6ca5b72dca3fb52f97113f330640968219047c51fe95afd15400ae2908
170,27,157,217,angika_marked,awa,awa_Deva,anp_Deva,7f212485f23c3ac1a704ec35cb996fe2d5133dd2cfc8055497d80f737afc6ed8
171,28,0,59,angika_marked,mag,mag_Deva,anp_Deva,915589f8c3065102cccf71d22d6f92794cb1f14f6e3884a92b4024fc1d79da05
172,28,60,227,angika_marked,mag,awa_Deva,anp_Deva,3fb8fc1c6828d69d673cbc1f98becfc56db17ab3947b4c029253be97f6d3a294
173,28,1116,1223,angika_marked,mag,mai_Deva,anp_Deva,3573c8ae7c9a91a937e792614524395a307ca1718e45f8d6d22e5bf9f282db7d
174,28,1224,1322,angika_marked,mag,mag_Deva,anp_Deva,0d37e3c5e9de51fb9b46ba7e9a6cf13e1cb7bfacdd921f7e0d1cfab04b4016bc
175,28,1323,1473,angika_marked,mag,mag_Deva,anp_Deva,2efdc8562aa78c6cf6dbb97c0ae219304c08825e143e1c464cfe913d6b603b5b
176,28,1474,1558,angika_marked,mag,mag_Deva,anp_Deva,765326ffe71f4b0989eb809854a8082dcb7bf5422e1de1ef393f7d16c8f7ef48
177,28,1687,1781,angika_marked,mai,mai_Deva,anp_Deva,b6b88265256add98b8a29814aabde2e465b2e71bf85ee9c92e91361b32bd7a47
178,28,1782,1904,angika_marked,mai,mai_Deva,anp_Deva,2f031db065630861459c26c9ab2908d16b4c3fe6a894cc15078dac49152ed7df
179,28,1905,2063,angika_marked,hin,mai_Deva,anp_Deva,6f91592c9be34744bcb0f1f8c65878b63cddd3855b72e58c0463c7f83ec60bb9
180,28,2064,2168,angika_marked,mai,mai_Deva,anp_Deva,d8ff207a56b63349ce4bacd8c73893114000ea250fcd62422853d827b833d722
181,28,2169,2277,angika_marked,awa,awa_Deva,anp_Deva,79c9c5a41afa2d1d2862e795f5270b252f932fe7f5a1a07aeffaf472d4ec3821
182,29,0,157,angika_marked,bho,mai_Deva,anp_Deva,e89d0b90ae776caed608179153de5d5a1170970b5b43251f0491564d7ca91eb6
183,29,158,248,angika_marked,new,mai_Deva,anp_Deva,25dfe638b34e4a7e9a00f825b8fc90793371c6be13c91222a067fb0073f29327
184,29,249,382,angika_marked,bho,mai_Deva,anp_Deva,901b096e74db2bb60f7dc51513a098cf6af9bf514845a8d2aae83346819aeffd
185,29,383,471,angika_marked,bho,mai_Deva,anp_Deva,3d19bf021e68f9284d331c2e948f1cc3c1a25b40dd5c95afa5af14697a892294
186,29,472,538,angika_marked,awa,awa_Deva,anp_Deva,38636550a7cf466ae30a83fecfccc5bfe6bd3f3fae2a832bfbda3e64858f5be7
